epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.244047611951828,0.0003000000142492354,2.0079667568206787,0.13425925374031067,2.221484899520874
1,0.3824404776096344,0.0003000000142492354,1.6517871618270874,0.09259258955717087,2.4219679832458496
2,0.44725528359413147,0.0003000000142492354,1.4888449907302856,0.07870370149612427,2.6512625217437744
3,0.5112434029579163,0.0003000000142492354,1.3541407585144043,0.0694444477558136,3.0251986980438232
4,0.5648148059844971,0.0003000000142492354,1.2286038398742676,0.07407407462596893,3.6886441707611084
5,0.6026785969734192,0.0003000000142492354,1.1323851346969604,0.125,5.0128092765808105
6,0.6527777910232544,0.0003000000142492354,1.007678508758545,0.28703704476356506,3.0465002059936523
7,0.6957672238349915,0.0001500000071246177,0.8923109173774719,0.375,2.105886459350586
8,0.7184193134307861,0.0001500000071246177,0.8449640870094299,0.41203704476356506,2.0603411197662354
9,0.7341269850730896,0.0001500000071246177,0.7892270088195801,0.5324074029922485,1.537296175956726
10,0.7556216716766357,0.0001500000071246177,0.7422943115234375,0.1805555522441864,7.116550445556641
11,0.7719907164573669,0.0001500000071246177,0.7071713805198669,0.43518519401550293,2.448498487472534
12,0.7974537014961243,0.0001500000071246177,0.6395829916000366,0.31018519401550293,4.540892601013184
13,0.8045634627342224,0.0001500000071246177,0.6125465035438538,0.5972222089767456,1.3768359422683716
14,0.8131613731384277,0.0001500000071246177,0.5760718584060669,0.5509259104728699,1.5091599225997925
15,0.831845223903656,0.0001500000071246177,0.537000298500061,0.4861111044883728,1.8663395643234253
16,0.8473875522613525,0.0001500000071246177,0.5052808523178101,0.5787037014961243,1.4111237525939941
17,0.8551587462425232,0.0001500000071246177,0.4651990234851837,0.3055555522441864,4.703991889953613
18,0.8624338507652283,0.0001500000071246177,0.45546165108680725,0.5231481194496155,2.0089313983917236
19,0.8781415224075317,0.0001500000071246177,0.41369447112083435,0.5555555820465088,2.0892813205718994
20,0.8996362686157227,7.500000356230885e-05,0.37165990471839905,0.5740740895271301,1.6281487941741943
21,0.903769850730896,7.500000356230885e-05,0.35002148151397705,0.6435185074806213,1.2144638299942017
22,0.9171627163887024,7.500000356230885e-05,0.32427048683166504,0.5925925970077515,1.344796061515808
23,0.9166666865348816,7.500000356230885e-05,0.3255022168159485,0.5370370149612427,1.8616193532943726
24,0.9203042387962341,7.500000356230885e-05,0.31527042388916016,0.5833333134651184,1.6471911668777466
25,0.9259259104728699,7.500000356230885e-05,0.30306127667427063,0.5138888955116272,2.0375001430511475
26,0.9265872836112976,7.500000356230885e-05,0.2937582731246948,0.5324074029922485,1.832793116569519
27,0.9340277910232544,7.500000356230885e-05,0.2729381024837494,0.6342592835426331,1.2631208896636963
28,0.9401454925537109,3.7500001781154424e-05,0.26389479637145996,0.625,1.4065572023391724
29,0.9432870149612427,3.7500001781154424e-05,0.25224870443344116,0.5833333134651184,1.553981900215149
30,0.9379960298538208,3.7500001781154424e-05,0.25531521439552307,0.5416666865348816,1.589797019958496
31,0.9360119104385376,3.7500001781154424e-05,0.25690269470214844,0.6203703880310059,1.3575001955032349
32,0.939980149269104,3.7500001781154424e-05,0.24879635870456696,0.5833333134651184,1.500761866569519
33,0.9446097612380981,3.7500001781154424e-05,0.2402564287185669,0.5601851940155029,1.6353875398635864
34,0.9429563283920288,1.8750000890577212e-05,0.23662936687469482,0.6157407164573669,1.3831814527511597
35,0.9457672238349915,1.8750000890577212e-05,0.23542095720767975,0.6064814925193787,1.4774839878082275
36,0.9492394328117371,1.8750000890577212e-05,0.22929558157920837,0.6342592835426331,1.3082512617111206
