accuracy,loss,val_accuracy,val_loss,learning_rate
0.1569940447807312,2.172285318374634,0.13425925374031067,2.1536078453063965,9.999999747378752e-05
0.1879960298538208,2.039773464202881,0.13425925374031067,2.24601149559021,9.999999747378752e-05
0.2165178507566452,1.9912245273590088,0.13425925374031067,2.277958393096924,9.999999747378752e-05
0.2554563581943512,1.9413453340530396,0.14351852238178253,2.218200445175171,9.999999747378752e-05
0.278769850730896,1.8939359188079834,0.19907407462596893,2.082874298095703,9.999999747378752e-05
0.296875,1.8451486825942993,0.18518517911434174,1.972720980644226,9.999999747378752e-05
0.3286210298538208,1.788564920425415,0.3333333432674408,1.8615325689315796,9.999999747378752e-05
0.3427579402923584,1.7432934045791626,0.33796295523643494,1.7844605445861816,9.999999747378752e-05
0.3489583432674408,1.7202025651931763,0.31018519401550293,1.822115182876587,9.999999747378752e-05
0.3648313581943512,1.6710439920425415,0.4027777910232544,1.692069411277771,9.999999747378752e-05
0.3727678656578064,1.6406736373901367,0.29629629850387573,1.8251564502716064,9.999999747378752e-05
0.3876488208770752,1.6104228496551514,0.29629629850387573,1.8391391038894653,9.999999747378752e-05
0.3871527910232544,1.6113797426223755,0.37037035822868347,1.707571268081665,9.999999747378752e-05
0.4141865074634552,1.5553805828094482,0.39814814925193787,1.6170120239257812,9.999999747378752e-05
0.425595223903656,1.5313489437103271,0.4166666567325592,1.652443766593933,9.999999747378752e-05
0.418154776096344,1.5323796272277832,0.4305555522441864,1.5633161067962646,9.999999747378752e-05
0.4300595223903656,1.4980452060699463,0.33796295523643494,1.8324460983276367,9.999999747378752e-05
0.4454365074634552,1.4863070249557495,0.4583333432674408,1.501257061958313,9.999999747378752e-05
0.4499008059501648,1.4568976163864136,0.42129629850387573,1.5503281354904175,9.999999747378752e-05
0.4521329402923584,1.4511438608169556,0.34259259700775146,1.8929169178009033,9.999999747378752e-05
0.4583333432674408,1.4370300769805908,0.39351850748062134,1.578484296798706,9.999999747378752e-05
0.4600694477558136,1.4131330251693726,0.4861111044883728,1.4901928901672363,9.999999747378752e-05
0.4645337164402008,1.4057412147521973,0.43518519401550293,1.6267470121383667,9.999999747378752e-05
0.4821428656578064,1.3823603391647339,0.35648149251937866,1.8893845081329346,9.999999747378752e-05
0.4851190447807312,1.3743290901184082,0.4444444477558136,1.467841625213623,9.999999747378752e-05
0.4923115074634552,1.348733901977539,0.4444444477558136,1.525692105293274,9.999999747378752e-05
0.5071924328804016,1.3262279033660889,0.44907405972480774,1.4548985958099365,9.999999747378752e-05
0.5151289701461792,1.3040028810501099,0.36574074625968933,1.8185529708862305,9.999999747378752e-05
0.5153769850730896,1.2979835271835327,0.42592594027519226,1.5515090227127075,9.999999747378752e-05
0.5052083134651184,1.3007254600524902,0.45370370149612427,1.4831039905548096,9.999999747378752e-05
0.523809552192688,1.2819935083389282,0.45370370149612427,1.566147804260254,9.999999747378752e-05
0.5458829402923584,1.251778244972229,0.46759259700775146,1.4018430709838867,4.999999873689376e-05
0.5354662537574768,1.244030475616455,0.48148149251937866,1.4020991325378418,4.999999873689376e-05
0.5372023582458496,1.2479426860809326,0.44907405972480774,1.4899365901947021,4.999999873689376e-05
0.5404266119003296,1.2377598285675049,0.49074074625968933,1.3918215036392212,4.999999873689376e-05
0.5473710298538208,1.21815025806427,0.4722222089767456,1.4409128427505493,4.999999873689376e-05
0.5446428656578064,1.2232987880706787,0.45370370149612427,1.5551176071166992,4.999999873689376e-05
0.5535714030265808,1.2091822624206543,0.46296295523643494,1.450562834739685,4.999999873689376e-05
0.5478670597076416,1.2199304103851318,0.46759259700775146,1.387059211730957,4.999999873689376e-05
0.546875,1.2095147371292114,0.4861111044883728,1.4110773801803589,4.999999873689376e-05
0.561259925365448,1.1913955211639404,0.4861111044883728,1.4377853870391846,4.999999873689376e-05
0.5634920597076416,1.1808093786239624,0.47685185074806213,1.4690743684768677,4.999999873689376e-05
0.5582837462425232,1.1915382146835327,0.4583333432674408,1.421093463897705,4.999999873689376e-05
0.5654761791229248,1.1816996335983276,0.4861111044883728,1.446036696434021,2.499999936844688e-05
0.5689483880996704,1.1612048149108887,0.49074074625968933,1.3791719675064087,2.499999936844688e-05
0.5610119104385376,1.1801120042800903,0.47685185074806213,1.4482769966125488,2.499999936844688e-05
0.580605149269104,1.1702265739440918,0.4861111044883728,1.4408994913101196,2.499999936844688e-05
0.5625,1.1683415174484253,0.5,1.4119234085083008,2.499999936844688e-05
0.5741567611694336,1.1647416353225708,0.5,1.4258116483688354,2.499999936844688e-05
0.5736607313156128,1.1602445840835571,0.48148149251937866,1.3634628057479858,1.249999968422344e-05
