epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.2008928507566452,9.999999747378752e-05,2.0931434631347656,0.0694444477558136,2.4854416847229004
1,0.34490740299224854,9.999999747378752e-05,1.7743034362792969,0.07407407462596893,2.6755406856536865
2,0.39533731341362,9.999999747378752e-05,1.6182045936584473,0.19907407462596893,2.3751392364501953
3,0.4320436418056488,9.999999747378752e-05,1.534638524055481,0.31481480598449707,1.989216685295105
4,0.46445104479789734,9.999999747378752e-05,1.459896206855774,0.35648149251937866,1.823851466178894
5,0.49818122386932373,9.999999747378752e-05,1.3863033056259155,0.37962964177131653,1.7291457653045654
6,0.5165343880653381,9.999999747378752e-05,1.331722617149353,0.375,1.7111576795578003
7,0.5471230149269104,9.999999747378752e-05,1.2737027406692505,0.42592594027519226,1.6176904439926147
8,0.5648148059844971,9.999999747378752e-05,1.2205746173858643,0.375,1.8956413269042969
9,0.586309552192688,9.999999747378752e-05,1.1637595891952515,0.47685185074806213,1.5510300397872925
10,0.6195436716079712,9.999999747378752e-05,1.1037518978118896,0.4583333432674408,1.3848950862884521
11,0.6334325671195984,9.999999747378752e-05,1.0550808906555176,0.5,1.3689374923706055
12,0.6572420597076416,9.999999747378752e-05,1.0067939758300781,0.5324074029922485,1.490918755531311
13,0.6767526268959045,9.999999747378752e-05,0.962891161441803,0.5555555820465088,1.3162649869918823
14,0.6987434029579163,9.999999747378752e-05,0.9085032939910889,0.5648148059844971,1.3346906900405884
15,0.7078372836112976,9.999999747378752e-05,0.8587028980255127,0.5462962985038757,1.3567951917648315
16,0.7251983880996704,9.999999747378752e-05,0.822262704372406,0.5231481194496155,1.518305778503418
17,0.7395833134651184,9.999999747378752e-05,0.779217541217804,0.5601851940155029,1.4484238624572754
18,0.75942462682724,9.999999747378752e-05,0.7400423288345337,0.5185185074806213,1.7261286973953247
19,0.7895172238349915,4.999999873689376e-05,0.6680148243904114,0.5694444179534912,1.3032774925231934
20,0.7911706566810608,4.999999873689376e-05,0.6452863812446594,0.5694444179534912,1.4516936540603638
21,0.8009259104728699,4.999999873689376e-05,0.6318041682243347,0.5740740895271301,1.3386566638946533
22,0.8125,4.999999873689376e-05,0.599165141582489,0.5648148059844971,1.3948122262954712
23,0.8186177015304565,4.999999873689376e-05,0.5906091332435608,0.6111111044883728,1.2979615926742554
24,0.8217592835426331,4.999999873689376e-05,0.568100094795227,0.6018518805503845,1.216350793838501
25,0.8348214030265808,4.999999873689376e-05,0.5452700257301331,0.6018518805503845,1.2205688953399658
26,0.8366402387619019,4.999999873689376e-05,0.5323097705841064,0.5601851940155029,1.2923210859298706
27,0.8445767164230347,4.999999873689376e-05,0.5109304189682007,0.5925925970077515,1.2259565591812134
28,0.846230149269104,4.999999873689376e-05,0.504340410232544,0.5787037014961243,1.3436875343322754
29,0.8569775223731995,4.999999873689376e-05,0.4746089279651642,0.5925925970077515,1.1742832660675049
30,0.8578042387962341,4.999999873689376e-05,0.4671439230442047,0.5601851940155029,1.2962846755981445
31,0.8596230149269104,4.999999873689376e-05,0.4598346948623657,0.6157407164573669,1.4431456327438354
32,0.8718584775924683,4.999999873689376e-05,0.4314829111099243,0.5787037014961243,1.2303004264831543
33,0.8720238208770752,4.999999873689376e-05,0.4257778227329254,0.5833333134651184,1.2657469511032104
34,0.8867394328117371,4.999999873689376e-05,0.40094465017318726,0.6203703880310059,1.277095913887024
35,0.8900462985038757,2.499999936844688e-05,0.39107123017311096,0.6064814925193787,1.1845192909240723
36,0.8905423283576965,2.499999936844688e-05,0.389408141374588,0.5925925970077515,1.2818913459777832
37,0.8966600298881531,2.499999936844688e-05,0.3722712993621826,0.5925925970077515,1.2393449544906616
38,0.8946759104728699,2.499999936844688e-05,0.3706603944301605,0.5879629850387573,1.2763071060180664
39,0.9011243581771851,2.499999936844688e-05,0.361336350440979,0.5972222089767456,1.1966094970703125
40,0.9151785969734192,1.249999968422344e-05,0.34110671281814575,0.5787037014961243,1.262855052947998
