epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.22189153730869293,9.999999747378752e-05,2.339433193206787,0.12962962687015533,3.090362071990967
1,0.32308200001716614,9.999999747378752e-05,1.9850062131881714,0.1527777761220932,4.207159996032715
2,0.3635912835597992,9.999999747378752e-05,1.8643133640289307,0.125,6.218945503234863
3,0.40691137313842773,9.999999747378752e-05,1.7371106147766113,0.2083333283662796,5.081413745880127
4,0.439980149269104,9.999999747378752e-05,1.6220879554748535,0.15740740299224854,6.713156223297119
5,0.47949734330177307,9.999999747378752e-05,1.5225342512130737,0.25462964177131653,3.489863157272339
6,0.5180224776268005,4.999999873689376e-05,1.4226871728897095,0.24074074625968933,3.713536500930786
7,0.5348875522613525,4.999999873689376e-05,1.3472410440444946,0.25462964177131653,3.518876075744629
8,0.5471230149269104,4.999999873689376e-05,1.3093608617782593,0.3055555522441864,3.1713597774505615
9,0.5782076716423035,4.999999873689376e-05,1.2333877086639404,0.3055555522441864,3.2569758892059326
10,0.5896164178848267,4.999999873689376e-05,1.1858842372894287,0.28703704476356506,3.416557550430298
11,0.608134925365448,2.499999936844688e-05,1.142825722694397,0.28703704476356506,3.1700456142425537
12,0.6231812238693237,2.499999936844688e-05,1.1009998321533203,0.32870370149612427,3.2761287689208984
13,0.6279761791229248,2.499999936844688e-05,1.0807461738586426,0.28703704476356506,3.578653335571289
14,0.6398809552192688,2.499999936844688e-05,1.0467958450317383,0.3055555522441864,3.3208093643188477
15,0.651289701461792,2.499999936844688e-05,1.0200434923171997,0.32407405972480774,2.9255101680755615
16,0.6618716716766357,2.499999936844688e-05,0.9833038449287415,0.32870370149612427,2.7434306144714355
17,0.675595223903656,2.499999936844688e-05,0.9861115217208862,0.30092594027519226,3.1560182571411133
18,0.6810516119003296,2.499999936844688e-05,0.9444229006767273,0.35185185074806213,2.8885281085968018
19,0.6870039701461792,2.499999936844688e-05,0.9325124025344849,0.4027777910232544,2.7009122371673584
20,0.6876653432846069,2.499999936844688e-05,0.9248618483543396,0.41203704476356506,2.636586904525757
